x,z
0.000,-6.0000
1.000,-5.9750
2.000,-5.9500
3.000,-5.9250
4.000,-5.9000
5.000,-5.8750
6.000,-5.8500
7.000,-5.8250
8.000,-5.7999
9.000,-5.7749
10.000,-5.7499
11.000,-5.7249
12.000,-5.6999
13.000,-5.6749
14.000,-5.6499
15.000,-5.6248
16.000,-5.5998
17.000,-5.5748
18.000,-5.5497
19.000,-5.5247
20.000,-5.4996
21.000,-5.4745
22.000,-5.4494
23.000,-5.4244
24.000,-5.3992
25.000,-5.3741
26.000,-5.3490
27.000,-5.3238
28.000,-5.2986
29.000,-5.2734
30.000,-5.2482
31.000,-5.2229
32.000,-5.1976
33.000,-5.1722
34.000,-5.1468
35.000,-5.1213
36.000,-5.0958
37.000,-5.0702
38.000,-5.0445
39.000,-5.0187
40.000,-4.9928
41.000,-4.9669
42.000,-4.9408
43.000,-4.9145
44.000,-4.8882
45.000,-4.8617
46.000,-4.8350
47.000,-4.8081
48.000,-4.7810
49.000,-4.7537
50.000,-4.7262
51.000,-4.6984
52.000,-4.6703
53.000,-4.6419
54.000,-4.6132
55.000,-4.5841
56.000,-4.5547
57.000,-4.5249
58.000,-4.4946
59.000,-4.4639
60.000,-4.4326
61.000,-4.4009
62.000,-4.3686
63.000,-4.3358
64.000,-4.3024
65.000,-4.2683
66.000,-4.2336
67.000,-4.1982
68.000,-4.1621
69.000,-4.1252
70.000,-4.0876
71.000,-4.0492
72.000,-4.0100
73.000,-3.9700
74.000,-3.9292
75.000,-3.8875
76.000,-3.8450
77.000,-3.8016
78.000,-3.7574
79.000,-3.7123
80.000,-3.6664
81.000,-3.6196
82.000,-3.5720
83.000,-3.5236
84.000,-3.4745
85.000,-3.4246
86.000,-3.3741
87.000,-3.3229
88.000,-3.2711
89.000,-3.2187
90.000,-3.1659
91.000,-3.1127
92.000,-3.0591
93.000,-3.0053
94.000,-2.9513
95.000,-2.8972
96.000,-2.8431
97.000,-2.7891
98.000,-2.7353
99.000,-2.6817
100.000,-2.6286
101.000,-2.5760
102.000,-2.5240
103.000,-2.4727
104.000,-2.4222
105.000,-2.3727
106.000,-2.3241
107.000,-2.2768
108.000,-2.2306
109.000,-2.1857
110.000,-2.1423
111.000,-2.1003
112.000,-2.0599
113.000,-2.0211
114.000,-1.9841
115.000,-1.9488
116.000,-1.9153
117.000,-1.8836
118.000,-1.8538
119.000,-1.8260
120.000,-1.8000
121.000,-1.7760
122.000,-1.7538
123.000,-1.7336
124.000,-1.7153
125.000,-1.6988
126.000,-1.6841
127.000,-1.6711
128.000,-1.6599
129.000,-1.6503
130.000,-1.6423
131.000,-1.6357
132.000,-1.6306
133.000,-1.6268
134.000,-1.6241
135.000,-1.6227
136.000,-1.6222
137.000,-1.6227
138.000,-1.6240
139.000,-1.6260
140.000,-1.6286
141.000,-1.6317
142.000,-1.6353
143.000,-1.6391
144.000,-1.6431
145.000,-1.6472
146.000,-1.6513
147.000,-1.6553
148.000,-1.6591
149.000,-1.6627
150.000,-1.6659
151.000,-1.6687
152.000,-1.6711
153.000,-1.6729
154.000,-1.6741
155.000,-1.6746
156.000,-1.6745
157.000,-1.6736
158.000,-1.6720
159.000,-1.6696
160.000,-1.6664
161.000,-1.6623
162.000,-1.6574
163.000,-1.6516
164.000,-1.6450
165.000,-1.6375
166.000,-1.6292
167.000,-1.6200
168.000,-1.6100
169.000,-1.5992
170.000,-1.5876
171.000,-1.5752
172.000,-1.5621
173.000,-1.5482
174.000,-1.5336
175.000,-1.5183
176.000,-1.5024
177.000,-1.4858
