x,z
0.000,-8.0000
1.000,-7.9600
2.000,-7.9200
3.000,-7.8800
4.000,-7.8400
5.000,-7.8000
6.000,-7.7600
7.000,-7.7200
8.000,-7.6800
9.000,-7.6400
10.000,-7.6000
11.000,-7.5600
12.000,-7.5200
13.000,-7.4800
14.000,-7.4400
15.000,-7.4000
16.000,-7.3600
17.000,-7.3200
18.000,-7.2800
19.000,-7.2400
20.000,-7.2000
21.000,-7.1600
22.000,-7.1200
23.000,-7.0800
24.000,-7.0400
25.000,-7.0000
26.000,-6.9600
27.000,-6.9200
28.000,-6.8800
29.000,-6.8400
30.000,-6.8000
31.000,-6.7600
32.000,-6.7200
33.000,-6.6800
34.000,-6.6400
35.000,-6.6000
36.000,-6.5600
37.000,-6.5200
38.000,-6.4800
39.000,-6.4400
40.000,-6.4000
41.000,-6.3600
42.000,-6.3200
43.000,-6.2800
44.000,-6.2400
45.000,-6.2000
46.000,-6.1600
47.000,-6.1200
48.000,-6.0800
49.000,-6.0400
50.000,-6.0000
51.000,-5.9600
52.000,-5.9200
53.000,-5.8800
54.000,-5.8400
55.000,-5.8000
56.000,-5.7600
57.000,-5.7200
58.000,-5.6800
59.000,-5.6400
60.000,-5.6000
61.000,-5.5600
62.000,-5.5200
63.000,-5.4800
64.000,-5.4400
65.000,-5.4000
66.000,-5.3600
67.000,-5.3200
68.000,-5.2800
69.000,-5.2400
70.000,-5.2000
71.000,-5.1600
72.000,-5.1200
73.000,-5.0800
74.000,-5.0400
75.000,-5.0000
76.000,-4.9600
77.000,-4.9200
78.000,-4.8800
79.000,-4.8400
80.000,-4.8000
81.000,-4.7600
82.000,-4.7200
83.000,-4.6800
84.000,-4.6400
85.000,-4.6000
86.000,-4.5600
87.000,-4.5200
88.000,-4.4800
89.000,-4.4400
90.000,-4.4000
91.000,-4.3600
92.000,-4.3200
93.000,-4.2800
94.000,-4.2400
95.000,-4.2000
96.000,-4.1600
97.000,-4.1200
98.000,-4.0800
99.000,-4.0400
100.000,-4.0000
101.000,-3.9600
102.000,-3.9200
103.000,-3.8800
104.000,-3.8400
105.000,-3.8000
106.000,-3.7600
107.000,-3.7200
108.000,-3.6800
109.000,-3.6400
110.000,-3.6000
111.000,-3.5600
112.000,-3.5200
113.000,-3.4800
114.000,-3.4400
115.000,-3.4000
116.000,-3.3600
117.000,-3.3200
118.000,-3.2800
119.000,-3.2400
120.000,-3.2000
121.000,-3.1600
122.000,-3.1200
123.000,-3.0800
124.000,-3.0400
125.000,-3.0000
126.000,-2.9600
127.000,-2.9200
128.000,-2.8800
129.000,-2.8400
130.000,-2.8000
131.000,-2.7600
132.000,-2.7200
133.000,-2.6800
134.000,-2.6400
135.000,-2.6000
136.000,-2.5600
137.000,-2.5200
138.000,-2.4800
139.000,-2.4400
140.000,-2.4000
141.000,-2.3600
142.000,-2.3200
143.000,-2.2800
144.000,-2.2400
145.000,-2.2000
146.000,-2.1600
147.000,-2.1200
148.000,-2.0800
149.000,-2.0400
150.000,-2.0000
151.000,-1.9600
152.000,-1.9200
153.000,-1.8800
154.000,-1.8399
155.000,-1.7999
156.000,-1.7599
157.000,-1.7199
158.000,-1.6798
159.000,-1.6398
160.000,-1.5997
161.000,-1.5597
162.000,-1.5196
163.000,-1.4795
164.000,-1.4393
165.000,-1.3992
166.000,-1.3589
167.000,-1.3187
168.000,-1.2783
169.000,-1.2379
170.000,-1.1974
171.000,-1.1568
172.000,-1.1160
173.000,-1.0751
174.000,-1.0340
175.000,-0.9926
176.000,-0.9510
177.000,-0.9091
178.000,-0.8667
179.000,-0.8240
180.000,-0.7807
181.000,-0.7368
182.000,-0.6922
183.000,-0.6468
