x,z
0.000,-8.0000
1.000,-7.9500
2.000,-7.9000
3.000,-7.8500
4.000,-7.8000
5.000,-7.7500
6.000,-7.7000
7.000,-7.6500
8.000,-7.6000
9.000,-7.5500
10.000,-7.5000
11.000,-7.4500
12.000,-7.4000
13.000,-7.3500
14.000,-7.3000
15.000,-7.2500
16.000,-7.2000
17.000,-7.1500
18.000,-7.1000
19.000,-7.0500
20.000,-7.0000
21.000,-6.9500
22.000,-6.9000
23.000,-6.8500
24.000,-6.8000
25.000,-6.7500
26.000,-6.7000
27.000,-6.6500
28.000,-6.6000
29.000,-6.5500
30.000,-6.5000
31.000,-6.4500
32.000,-6.4000
33.000,-6.3500
34.000,-6.3000
35.000,-6.2500
36.000,-6.2000
37.000,-6.1500
38.000,-6.1000
39.000,-6.0500
40.000,-6.0000
41.000,-5.9500
42.000,-5.9000
43.000,-5.8500
44.000,-5.8000
45.000,-5.7500
46.000,-5.7000
47.000,-5.6500
48.000,-5.6000
49.000,-5.5500
50.000,-5.5000
51.000,-5.4500
52.000,-5.4000
53.000,-5.3500
54.000,-5.3000
55.000,-5.2500
56.000,-5.2000
57.000,-5.1500
58.000,-5.1000
59.000,-5.0500
60.000,-5.0000
61.000,-4.9500
62.000,-4.9000
63.000,-4.8500
64.000,-4.8000
65.000,-4.7500
66.000,-4.7000
67.000,-4.6500
68.000,-4.6000
69.000,-4.5500
70.000,-4.5000
71.000,-4.4500
72.000,-4.4000
73.000,-4.3500
74.000,-4.3000
75.000,-4.2500
76.000,-4.2000
77.000,-4.1500
78.000,-4.1000
79.000,-4.0500
80.000,-4.0000
81.000,-3.9500
82.000,-3.9000
83.000,-3.8500
84.000,-3.8000
85.000,-3.7500
86.000,-3.7000
87.000,-3.6500
88.000,-3.6000
89.000,-3.5500
90.000,-3.5000
91.000,-3.4500
92.000,-3.4000
93.000,-3.3500
94.000,-3.3000
95.000,-3.2500
96.000,-3.2000
97.000,-3.1500
98.000,-3.1000
99.000,-3.0500
100.000,-3.0000
101.000,-2.9500
