time,hrms,tp,swl
0,1.000,6.000,0.009
3600,1.143,6.286,0.014
7200,1.286,6.571,0.023
10800,1.429,6.857,0.035
14400,1.571,7.143,0.053
18000,1.714,7.429,0.077
21600,1.857,7.714,0.108
25200,2.000,8.000,0.149
28800,2.143,8.286,0.199
32400,2.286,8.571,0.260
36000,2.429,8.857,0.329
39600,2.571,9.143,0.405
43200,2.714,9.429,0.485
46800,2.857,9.714,0.565
50400,3.000,10.000,0.641
54000,3.000,10.000,0.706
57600,3.000,10.000,0.757
61200,3.000,10.000,0.789
64800,3.000,10.000,0.800
68400,3.000,10.000,0.789
72000,3.000,10.000,0.757
75600,3.000,10.000,0.706
79200,3.000,10.000,0.641
82800,2.857,9.714,0.565
86400,2.714,9.429,0.485
90000,2.571,9.143,0.405
93600,2.429,8.857,0.329
97200,2.286,8.571,0.260
100800,2.143,8.286,0.199
104400,2.000,8.000,0.149
108000,1.857,7.714,0.108
111600,1.714,7.429,0.077
115200,1.571,7.143,0.053
118800,1.429,6.857,0.035
122400,1.286,6.571,0.023
126000,1.143,6.286,0.014
129600,1.000,6.000,0.009
