time,hrms,tp,swl
0,0.961,7.470,0.0000
3600,0.961,7.470,0.3877
7200,0.961,7.471,0.6781
10800,0.961,7.471,0.7986
14400,0.961,7.471,0.7189
18000,0.961,7.471,0.4592
21600,0.962,7.471,0.0847
25200,0.962,7.471,-0.3107
28800,0.962,7.471,-0.6278
32400,0.962,7.471,-0.7874
36000,0.962,7.471,-0.7495
39600,0.962,7.471,-0.5240
43200,0.962,7.471,-0.1678
46800,0.962,7.471,0.2299
50400,0.962,7.471,0.5691
54000,0.962,7.472,0.7652
57600,0.963,7.472,0.7693
61200,0.963,7.472,0.5808
64800,0.963,7.472,0.2475
68400,0.963,7.472,-0.1468
72000,0.963,7.472,-0.5032
75600,0.963,7.472,-0.7326
79200,0.963,7.472,-0.7779
82800,0.963,7.472,-0.6286
86400,0.963,7.472,-0.3225
90000,0.963,7.472,0.0631
93600,0.964,7.472,0.4314
97200,0.964,7.473,0.6904
100800,0.964,7.473,0.7756
104400,0.964,7.473,0.6665
108000,0.964,7.473,0.3913
111600,0.964,7.473,0.0195
115200,0.964,7.473,-0.3554
118800,0.964,7.473,-0.6395
122400,0.964,7.473,-0.7624
126000,0.965,7.473,-0.6941
129600,0.965,7.473,-0.4527
133200,0.965,7.473,-0.0995
136800,0.965,7.473,0.2766
140400,0.965,7.473,0.5813
144000,0.965,7.474,0.7390
147600,0.965,7.474,0.7111
151200,0.965,7.474,0.5058
154800,0.965,7.474,0.1754
158400,0.965,7.474,-0.1966
162000,0.966,7.474,-0.5170
165600,0.966,7.474,-0.7062
169200,0.966,7.474,-0.7176
172800,0.966,7.474,-0.5498
176400,0.966,7.474,-0.2459
180000,0.966,7.474,0.1171
183600,0.966,7.474,0.4481
187200,0.966,7.474,0.6648
190800,0.966,7.475,0.7138
194400,0.966,7.475,0.5843
198000,0.967,7.475,0.3100
201600,0.967,7.475,-0.0395
205200,0.967,7.475,-0.3761
208800,0.967,7.475,-0.6161
212400,0.967,7.475,-0.7002
216000,0.967,7.475,-0.6090
219600,0.967,7.475,-0.3666
223200,0.967,7.475,-0.0349
226800,0.967,7.475,0.3024
230400,0.967,7.475,0.5612
234000,0.967,7.475,0.6776
237600,0.968,7.475,0.6240
241200,0.968,7.476,0.4152
244800,0.968,7.476,0.1049
248400,0.968,7.476,-0.2285
252000,0.968,7.476,-0.5016
255600,0.968,7.476,-0.6469
259200,0.968,7.476,-0.6295
262800,0.968,7.476,-0.4552
266400,0.968,7.476,-0.1694
270000,0.968,7.476,0.1558
273600,0.969,7.476,0.4386
277200,0.969,7.476,0.6091
280800,0.969,7.476,0.6260
284400,0.969,7.476,0.4867
288000,0.969,7.477,0.2276
291600,0.969,7.477,-0.0854
295200,0.969,7.477,-0.3735
298800,0.969,7.477,-0.5654
302400,0.969,7.477,-0.6142
306000,0.969,7.477,-0.5094
309600,0.970,7.477,-0.2789
313200,0.970,7.477,0.0184
316800,0.970,7.477,0.3077
320400,0.970,7.477,0.5169
324000,0.970,7.477,0.5950
327600,0.970,7.477,0.5239
331200,0.970,7.477,0.3231
334800,0.970,7.477,0.0443
338400,0.970,7.478,-0.2422
342000,0.970,7.478,-0.4649
345600,0.970,7.478,-0.5691
349200,0.971,7.478,-0.5304
352800,0.971,7.478,-0.3600
356400,0.971,7.478,-0.1020
360000,0.971,7.478,0.1781
363600,0.971,7.478,0.4105
367200,0.971,7.478,0.5378
370800,0.971,7.478,0.5296
374400,0.971,7.478,0.3896
378000,0.971,7.478,0.1543
381600,0.971,7.478,-0.1164
385200,0.971,7.478,-0.3548
388800,0.972,7.479,-0.5019
392400,0.972,7.479,-0.5222
396000,0.972,7.479,-0.4122
399600,0.972,7.479,-0.2010
403200,0.972,7.479,0.0577
406800,0.972,7.479,0.2988
410400,0.972,7.479,0.4625
414000,0.972,7.479,0.5090
417600,0.972,7.479,0.4282
421200,0.972,7.479,0.2418
424800,0.972,7.479,-0.0025
428400,0.973,7.479,-0.2432
432000,0.973,7.479,-0.4205
435600,0.973,7.479,-0.4908
439200,0.973,7.479,-0.4381
442800,0.973,7.480,-0.2770
446400,0.973,7.480,-0.0487
450000,0.973,7.480,0.1889
453600,0.973,7.480,0.3767
457200,0.973,7.480,0.4686
460800,0.973,7.480,0.4426
464400,0.973,7.480,0.3067
468000,0.974,7.480,0.0960
471600,0.974,7.480,-0.1363
475200,0.974,7.480,-0.3321
478800,0.974,7.480,-0.4429
482400,0.974,7.480,-0.4423
486000,0.974,7.480,-0.3314
489600,0.974,7.480,-0.1392
493200,0.974,7.480,0.0857
496800,0.974,7.481,0.2870
500400,0.974,7.481,0.4147
504000,0.974,7.481,0.4377
507600,0.974,7.481,0.3515
511200,0.975,7.481,0.1785
514800,0.975,7.481,-0.0374
518400,0.975,7.481,-0.2420
522000,0.975,7.481,-0.3844
525600,0.975,7.481,-0.4297
529200,0.975,7.481,-0.3674
532800,0.975,7.481,-0.2141
536400,0.975,7.481,-0.0086
540000,0.975,7.481,0.1974
543600,0.975,7.481,0.3525
547200,0.975,7.481,0.4186
550800,0.976,7.482,0.3797
554400,0.976,7.482,0.2463
558000,0.976,7.482,0.0524
561600,0.976,7.482,-0.1533
565200,0.976,7.482,-0.3195
568800,0.976,7.482,-0.4049
572400,0.976,7.482,-0.3887
576000,0.976,7.482,-0.2755
579600,0.976,7.482,-0.0941
583200,0.976,7.482,0.1099
586800,0.976,7.482,0.2855
590400,0.976,7.482,0.3890
594000,0.977,7.482,0.3949
597600,0.977,7.482,0.3021
601200,0.977,7.482,0.1341
604800,0.977,7.482,-0.0669
608400,0.977,7.483,-0.2506
612000,0.977,7.483,-0.3712
615600,0.977,7.483,-0.3986
619200,0.977,7.483,-0.3263
622800,0.977,7.483,-0.1725
626400,0.977,7.483,0.0243
630000,0.977,7.483,0.2148
633600,0.977,7.483,0.3514
637200,0.978,7.483,0.4000
640800,0.978,7.483,0.3484
644400,0.978,7.483,0.2096
648000,0.978,7.483,0.0182
651600,0.978,7.483,-0.1779
655200,0.978,7.483,-0.3297
658800,0.978,7.483,-0.3991
662400,0.978,7.483,-0.3686
666000,0.978,7.484,-0.2457
669600,0.978,7.484,-0.0608
673200,0.978,7.484,0.1397
676800,0.978,7.484,0.3059
680400,0.979,7.484,0.3959
684000,0.979,7.484,0.3869
687600,0.979,7.484,0.2808
691200,0.979,7.484,0.1038
694800,0.979,7.484,-0.1000
698400,0.979,7.484,-0.2798
702000,0.979,7.484,-0.3902
705600,0.979,7.484,-0.4032
709200,0.979,7.484,-0.3150
712800,0.979,7.484,-0.1473
716400,0.979,7.484,0.0585
720000,0.979,7.484,0.2510
723600,0.979,7.485,0.3816
727200,0.980,7.485,0.4173
730800,0.980,7.485,0.3484
734400,0.980,7.485,0.1913
738000,0.980,7.485,-0.0150
741600,0.980,7.485,-0.2192
745200,0.980,7.485,-0.3700
748800,0.980,7.485,-0.4289
752400,0.980,7.485,-0.3805
756000,0.980,7.485,-0.2360
759600,0.980,7.485,-0.0308
763200,0.980,7.485,0.1841
766800,0.980,7.485,0.3546
770400,0.980,7.485,0.4376
774000,0.981,7.485,0.4112
777600,0.981,7.485,0.2811
781200,0.981,7.485,0.0788
784800,0.981,7.486,-0.1453
788400,0.981,7.486,-0.3352
792000,0.981,7.486,-0.4428
795600,0.981,7.486,-0.4399
799200,0.981,7.486,-0.3263
802800,0.981,7.486,-0.1292
806400,0.981,7.486,0.1026
810000,0.981,7.486,0.3112
813600,0.981,7.486,0.4438
817200,0.981,7.486,0.4661
820800,0.982,7.486,0.3712
824400,0.982,7.486,0.1817
828000,0.982,7.486,-0.0559
831600,0.982,7.486,-0.2822
835200,0.982,7.486,-0.4401
838800,0.982,7.486,-0.4890
842400,0.982,7.486,-0.4153
846000,0.982,7.486,-0.2359
849600,0.982,7.487,0.0050
853200,0.982,7.487,0.2477
856800,0.982,7.487,0.4310
860400,0.982,7.487,0.5079
864000,0.982,7.487,0.4577
867600,0.982,7.487,0.2915
871200,0.983,7.487,0.0497
874800,0.983,7.487,-0.2076
878400,0.983,7.487,-0.4159
882000,0.983,7.487,-0.5219
885600,0.983,7.487,-0.4976
889200,0.983,7.487,-0.3476
892800,0.983,7.487,-0.1081
896400,0.983,7.487,0.1617
900000,0.983,7.487,0.3942
903600,0.983,7.487,0.5301
907200,0.983,7.487,0.5342
910800,0.983,7.487,0.4036
914400,0.983,7.487,0.1696
918000,0.983,7.488,-0.1101
921600,0.984,7.488,-0.3655
925200,0.984,7.488,-0.5319
928800,0.984,7.488,-0.5663
932400,0.984,7.488,-0.4583
936000,0.984,7.488,-0.2335
939600,0.984,7.488,0.0530
943200,0.984,7.488,0.3296
946800,0.984,7.488,0.5265
950400,0.984,7.488,0.5930
954000,0.984,7.488,0.5108
957600,0.984,7.488,0.2989
961200,0.984,7.488,0.0092
964800,0.984,7.488,-0.2863
968400,0.984,7.488,-0.5131
972000,0.985,7.488,-0.6132
975600,0.985,7.488,-0.5599
979200,0.985,7.488,-0.3649
982800,0.985,7.488,-0.0757
986400,0.985,7.489,0.2358
990000,0.985,7.489,0.4915
993600,0.985,7.489,0.6261
997200,0.985,7.489,0.6045
1000800,0.985,7.489,0.4303
1004400,0.985,7.489,0.1458
1008000,0.985,7.489,-0.1784
1011600,0.985,7.489,-0.4612
1015200,0.985,7.489,-0.6307
1018800,0.985,7.489,-0.6432
1022400,0.985,7.489,-0.4938
1026000,0.986,7.489,-0.2184
1029600,0.986,7.489,0.1147
1033200,0.986,7.489,0.4222
1036800,0.986,7.489,0.6265
1040400,0.986,7.489,0.6750
1044000,0.986,7.489,0.5540
1047600,0.986,7.489,0.2924
1051200,0.986,7.489,-0.0453
1054800,0.986,7.489,-0.3747
1058400,0.986,7.490,-0.6127
1062000,0.986,7.490,-0.6987
1065600,0.986,7.490,-0.6096
1069200,0.986,7.490,-0.3662
1072800,0.986,7.490,-0.0286
1076400,0.986,7.490,0.3190
1080000,0.986,7.490,0.5893
1083600,0.987,7.490,0.7135
1087200,0.987,7.490,0.6592
1090800,0.987,7.490,0.4387
1094400,0.987,7.490,0.1060
1098000,0.987,7.490,-0.2559
1101600,0.987,7.490,-0.5561
1105200,0.987,7.490,-0.7187
1108800,0.987,7.490,-0.7017
1112400,0.987,7.490,-0.5081
1116000,0.987,7.490,-0.1854
1119600,0.987,7.490,0.1861
1123200,0.987,7.490,0.5133
